name;description;app layer;features;documentation
sid;set rule ID;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/meta.html#sid-signature-id;
priority;rules with a higher priority will be examined first;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/meta.html#priority;
rev;set version of the rule;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/meta.html#rev-revision;
classtype;information about the classification of rules and alerts;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/meta.html#classtype;
app-layer-protocol;match on the detected app-layer protocol;Unset;prefilter;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/app-layer.html#app-layer-protocol;
tcp.ack;check for a specific TCP acknowledgement number;Unset;prefilter;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/header-keywords.html#ack;
tcp.seq;check for a specific TCP sequence number;Unset;prefilter;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/header-keywords.html#seq;
tcp.window;check for a specific TCP window size;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/header-keywords.html#window;
ipopts;check if a specific IP option is set;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/header-keywords.html#ipopts;
tcp.flags;detect which flags are set in the TCP header;Unset;prefilter;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/header-keywords.html#tcp-flags;
fragbits;check if the fragmentation and reserved bits are set in the IP header;Unset;prefilter;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/header-keywords.html#fragbits-ip-fragmentation;
fragoffset;match on specific decimal values of the IP fragment offset field;Unset;prefilter;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/header-keywords.html#fragoffset;
ttl;check for a specific IP time-to-live value;Unset;prefilter;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/header-keywords.html#ttl;
tos;match on specific decimal values of the IP header TOS field;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/header-keywords.html#tos;
itype;match on a specific ICMP type;Unset;prefilter;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/header-keywords.html#itype;
icode;match on specific ICMP id-value;Unset;prefilter;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/header-keywords.html#icode;
icmp_id;check for a ICMP ID;Unset;prefilter;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/header-keywords.html#icmp-id;
icmp_seq;check for a ICMP sequence number;Unset;prefilter;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/header-keywords.html#icmp-seq;
icmpv4.hdr;sticky buffer to match on the ICMP v4 header;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/header-keywords.html#icmpv4-hdr;
